,min_cluster_size,min_samples,Precision,Recall,F1,Acurracy
0,2.0,2.0,0.5041436464088398,0.9733333333333334,0.6642402183803457,0.508
1,2.0,3.0,0.5051688490696071,0.9773333333333334,0.6660608814175375,0.51
2,2.0,5.0,0.5278546029237455,0.8906666666666667,0.6628628131977177,0.547
3,2.0,8.0,0.6026970954356846,0.7746666666666666,0.6779463243873978,0.632
4,2.0,10.0,0.5292998477929984,0.9273333333333333,0.6739341085271318,0.5513333333333333
5,5.0,2.0,0.5224460940261576,0.9853333333333333,0.6828366828366829,0.5423333333333333
6,5.0,3.0,0.5236147266641874,0.9386666666666666,0.6722368106946766,0.5423333333333333
7,5.0,5.0,0.561990561990562,0.8733333333333333,0.683894544505351,0.5963333333333334
8,5.0,8.0,0.5979330708661418,0.81,0.6879954699886751,0.6326666666666667
9,5.0,10.0,0.5659630606860159,0.858,0.6820349761526232,0.6
10,8.0,2.0,0.6525047558655676,0.686,0.6688332791680208,0.6603333333333333
11,8.0,3.0,0.6810344827586207,0.632,0.6556016597510373,0.668
12,8.0,5.0,0.6344444444444445,0.7613333333333333,0.6921212121212121,0.6613333333333333
13,8.0,8.0,0.6159420289855072,0.7366666666666667,0.670916818457802,0.6386666666666667
14,8.0,10.0,0.5417156286721504,0.922,0.6824574389341228,0.571
15,10.0,2.0,0.6384065372829418,0.8333333333333334,0.7229612492770388,0.6806666666666666
16,10.0,3.0,0.6271361988606939,0.8073333333333333,0.7059166423783153,0.6636666666666666
17,10.0,5.0,0.6260118726389639,0.7733333333333333,0.6919176856546376,0.6556666666666666
18,10.0,8.0,0.5710306406685237,0.82,0.6732348111658456,0.602
19,10.0,10.0,0.6013306038894575,0.7833333333333333,0.6803705848291836,0.632
20,12.0,2.0,0.5890027958993477,0.8426666666666667,0.6933625891387822,0.6273333333333333
21,12.0,3.0,0.6048679440704299,0.7786666666666666,0.6808510638297872,0.635
22,12.0,5.0,0.5771533855366191,0.8353333333333334,0.6826477798964861,0.6116666666666667
23,12.0,8.0,0.5692590888173032,0.8246666666666667,0.67356384426899,0.6003333333333334
24,12.0,10.0,0.550837076357697,0.8993333333333333,0.6832109394783489,0.583
25,15.0,2.0,0.5577315381476948,0.9113333333333333,0.6919767147557581,0.5943333333333334
26,15.0,3.0,0.5745880312228968,0.8833333333333333,0.6962690488702049,0.6146666666666667
27,15.0,5.0,0.5535934291581108,0.8986666666666666,0.685133418043202,0.587
28,15.0,8.0,0.5640362225097024,0.872,0.6849960722702279,0.599
29,15.0,10.0,0.5226429101707498,0.9386666666666666,0.6714353838817358,0.5406666666666666
30,10.0,2.0,0.6418656302054414,0.7706666666666667,0.700393820054529,0.6703333333333333
