,min_cluster_size,min_samples,Precision,Recall,F1,Accuracy
0,2.0,2.0,0.8471760797342193,0.7391304347826086,0.7894736842105263,0.8028985507246377
1,2.0,3.0,0.8681481481481481,0.8492753623188406,0.8586080586080586,0.8601449275362318
2,2.0,5.0,0.9516648764769066,0.6420289855072464,0.7667676330592816,0.8047101449275362
3,2.0,8.0,0.8968036529680365,0.7115942028985507,0.7935353535353534,0.8148550724637681
4,2.0,10.0,0.9427792915531336,0.5014492753623189,0.6546830652790918,0.7355072463768116
5,5.0,2.0,0.9256128486897718,0.7934782608695652,0.8544674209910261,0.8648550724637681
6,5.0,3.0,0.9096385542168675,0.8753623188405797,0.8921713441654356,0.8942028985507247
7,5.0,5.0,0.9457943925233645,0.7333333333333333,0.8261224489795919,0.8456521739130435
8,5.0,8.0,0.954140127388535,0.5427536231884058,0.6919168591224019,0.7583333333333333
9,5.0,10.0,0.9738751814223512,0.486231884057971,0.6486225229579506,0.7365942028985507
10,8.0,2.0,0.917276720351391,0.9079710144927536,0.9126001456664239,0.9130434782608695
11,8.0,3.0,0.9529529529529529,0.6898550724637681,0.8003362757461118,0.8278985507246377
12,8.0,5.0,0.968421052631579,0.6,0.7409395973154362,0.7902173913043479
13,8.0,8.0,0.9867256637168141,0.48478260869565215,0.6501457725947521,0.7391304347826086
14,8.0,10.0,0.9938461538461538,0.4681159420289855,0.6364532019704433,0.7326086956521739
15,10.0,2.0,0.988997555012225,0.586231884057971,0.7361237488626023,0.7898550724637681
16,10.0,3.0,0.9850746268656716,0.4782608695652174,0.6439024390243901,0.7355072463768116
17,10.0,5.0,0.9764705882352941,0.5413043478260869,0.6965034965034964,0.7641304347826087
18,10.0,8.0,0.9891156462585035,0.5268115942028986,0.6874704491725769,0.7605072463768116
19,10.0,10.0,0.997080291970803,0.49492753623188407,0.6615012106537531,0.7467391304347826
20,12.0,2.0,0.862547288776797,0.991304347826087,0.9224544841537425,0.9166666666666666
21,12.0,3.0,0.9908256880733946,0.391304347826087,0.5610389610389611,0.6938405797101449
22,12.0,5.0,1.0,0.3652173913043478,0.535031847133758,0.6826086956521739
23,12.0,8.0,0.9256965944272446,0.8666666666666667,0.8952095808383234,0.8985507246376812
24,12.0,10.0,0.9983870967741936,0.44855072463768114,0.619,0.7239130434782609
25,15.0,2.0,0.9105935386927122,0.8782608695652174,0.8941350055330136,0.8960144927536232
26,15.0,3.0,0.9590163934426229,0.7630434782608696,0.8498789346246973,0.8652173913043478
27,15.0,5.0,0.9640151515151515,0.7376811594202899,0.8357963875205254,0.855072463768116
28,15.0,8.0,0.9735849056603774,0.7478260869565218,0.8459016393442624,0.863768115942029
29,15.0,10.0,0.9510426110607434,0.7601449275362319,0.8449456302859444,0.8605072463768116
