Umbral,Precision,Recall,F1,Accuracy,Ensayo
0,1.0,0.030666666666666665,0.059508408796895215,0.5153333333333333,Cara
1,0.7297560975609756,0.9973333333333333,0.8428169014084506,0.814,Cara
2,0.9800664451827242,0.9833333333333333,0.9816971713810315,0.9816666666666667,Cara
3,1.0,0.962,0.9806320081549439,0.981,Cara
4,0.5831052014078999,0.994,0.7350258811929997,0.6416666666666667,Cara
5,0.970626631853786,0.9913333333333333,0.9808707124010554,0.9806666666666667,Cara
6,0.508130081300813,1.0,0.6738544474393531,0.516,Cara
7,0.541907514450867,1.0,0.7029053420805998,0.5773333333333334,Cara
8,0.5,1.0,0.6666666666666666,0.5,Cara
9,0.515818431911967,1.0,0.6805807622504537,0.5306666666666666,Cara
10,0.5,1.0,0.6666666666666666,0.5,Cara
11,0.9772403982930299,0.458,0.6236949614162506,0.7236666666666667,Cara
0,0.0,0.0,0.0,0.5,Voz
1,1.0,0.06,0.11320754716981131,0.53,Voz
2,0.0,0.0,0.0,0.5,Voz
3,1.0,0.06,0.11320754716981131,0.53,Voz
4,0.0,0.0,0.0,0.5,Voz
5,1.0,0.36,0.5294117647058824,0.68,Voz
6,1.0,0.06,0.11320754716981131,0.53,Voz
7,0.0,0.0,0.0,0.5,Voz
8,1.0,0.36,0.5294117647058824,0.68,Voz
9,1.0,0.06,0.11320754716981131,0.53,Voz
10,1.0,0.02,0.0392156862745098,0.51,Voz
11,0.0,0.0,0.0,0.5,Voz
0,0.0,0.0,0.0,0.5,Cara + Voz
1,1.0,0.844,0.9154013015184382,0.922,Cara + Voz
2,1.0,0.37866666666666665,0.5493230174081237,0.6893333333333334,Cara + Voz
3,1.0,0.26866666666666666,0.4235417761429322,0.6343333333333333,Cara + Voz
4,1.0,0.25133333333333335,0.40170484816196056,0.6256666666666667,Cara + Voz
5,1.0,0.682,0.8109393579072534,0.841,Cara + Voz
6,1.0,0.984,0.9919354838709677,0.992,Cara + Voz
7,1.0,0.932,0.9648033126293997,0.966,Cara + Voz
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz
9,1.0,0.926,0.9615784008307372,0.963,Cara + Voz
10,0.9993288590604027,0.9926666666666667,0.9959866220735786,0.996,Cara + Voz
11,1.0,0.024,0.046875,0.512,Cara + Voz
0,0.0,0.0,0.0,0.5,Cara + Voz. PCA
1,0.995345744680851,0.998,0.9966711051930759,0.9966666666666667,Cara + Voz. PCA
2,1.0,0.9173333333333333,0.956884561891516,0.9586666666666667,Cara + Voz. PCA
3,1.0,0.956,0.9775051124744376,0.978,Cara + Voz. PCA
4,0.9683823529411765,0.878,0.9209790209790211,0.9246666666666666,Cara + Voz. PCA
5,1.0,0.9906666666666667,0.9953114534494306,0.9953333333333333,Cara + Voz. PCA
6,0.9469026548672567,0.9986666666666667,0.972096041531473,0.9713333333333334,Cara + Voz. PCA
7,0.9797120418848168,0.998,0.9887714663143989,0.9886666666666667,Cara + Voz. PCA
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. PCA
9,0.9973063973063973,0.9873333333333333,0.9922948073701842,0.9923333333333333,Cara + Voz. PCA
10,0.9230295566502463,0.9993333333333333,0.9596670934699104,0.958,Cara + Voz. PCA
11,1.0,0.2813333333333333,0.4391259105098855,0.6406666666666667,Cara + Voz. PCA
0,1.0,0.25133333333333335,0.40170484816196056,0.6256666666666667,Cara + Voz. GMM
1,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
2,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
3,1.0,0.9726666666666667,0.986143967556607,0.9863333333333333,Cara + Voz. GMM
4,0.953857791225416,0.8406666666666667,0.8936924167257264,0.9,Cara + Voz. GMM
5,0.9855358316896778,0.9993333333333333,0.9923866269447202,0.9923333333333333,Cara + Voz. GMM
6,0.5253940455341506,1.0,0.6888633754305395,0.5483333333333333,Cara + Voz. GMM
7,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
8,0.5,1.0,0.6666666666666666,0.5,Cara + Voz. GMM
9,0.9966101694915255,0.196,0.3275766016713092,0.5976666666666667,Cara + Voz. GMM
10,0.8508224617129893,1.0,0.9193993257738279,0.9123333333333333,Cara + Voz. GMM
11,0.0,0.0,0.0,0.5,Cara + Voz. GMM
